Employee Name,ID #,Phone Number,Address,Email,Pledge,Team,Date Hired
Quinlan H. Byrd,1646121304299,(966) 987-1153,"1606 Sem, Ave",parturient.montes.nascetur@eget.org,$27.11 ,orange,3/10/93
Jonas R. Cooke,1695013027899,(962) 245-9905,"946-6253 Placerat, Road",Quisque.fringilla@lacus.org,$98.97 ,violet,5/8/07
Orson O. Avery,1685050803499,(988) 873-9711,412-2604 Cursus. St.,magna@pellentesqueSed.edu,$86.65 ,green,3/9/99
Carter G. Downs,1637032054699,(770) 578-5694,Ap #962-8817 Morbi St.,id@anteNunc.edu,$57.56 ,violet,5/8/84
Gage B. Guthrie,1667060110799,(816) 748-8187,"2828 A, Rd.",dolor.Quisque.tincidunt@ametluctus.com,$64.39 ,violet,1/1/00
Cairo N. Cline,1659051648899,(663) 924-5779,9001 Vestibulum Av.,Ut.semper.pretium@miAliquamgravida.com,$95.25 ,blue,6/1/84
Ian J. Martinez,1621021083799,(666) 950-7983,Ap #495-6305 Nulla. Street,tempor@lorem.co.uk,$62.21 ,red,10/5/17
Kylee F. Blevins,1695051610399,(934) 813-0967,Ap #875-1968 Augue Rd.,dolor@inaliquet.net,$27.62 ,orange,11/2/93
Myles F. Poole,1698061525699,(174) 332-2210,Ap #573-6629 Ornare. St.,odio@gravida.net,$49.31 ,red,8/1/06
Adria C. Benjamin,1692072232699,(896) 895-0374,"Ap #443-6889 Purus, Rd.",erat.semper.rutrum@tristique.ca,$50.94 ,violet,10/31/97
Troy E. Gentry,1607120666099,(157) 487-6960,"P.O. Box 653, 3484 Gravida. St.",ut@DonecegestasAliquam.net,$45.55 ,blue,5/27/97
Nyssa R. May,1662031883899,(524) 285-6487,829 Dictum St.,semper.rutrum@vehicula.com,$14.47 ,green,4/1/84
Amery Z. Robbins,1606112969699,(804) 242-0655,1130 Luctus Rd.,morbi.tristique.senectus@PraesentluctusCurabitur.net,$83.40 ,blue,3/12/72
Brynne U. Miles,1677120791999,(183) 157-4908,495-3687 Porttitor Avenue,netus.et.malesuada@Nunc.com,$74.86 ,green,3/10/93
Selma S. Gay,1606101934399,(974) 280-1910,"P.O. Box 911, 8756 Est. St.",consequat.auctor@vitaeerat.co.uk,$39.74 ,violet,5/8/07
Kyle Y. Hudson,1697091713399,(557) 411-5750,Ap #767-9241 Lorem Av.,tortor@pede.com,$33.89 ,violet,3/9/99
Aspen R. Mcguire,1676021099399,(256) 535-0096,"Ap #914-5074 Ac, Ave",pretium.et@sit.ca,$10.64 ,yellow,5/8/84
